I
1100 Version - data cycle 1611, build 20161011, metadata AwyXP1100. Copyright (c) 2016 Navigraph

  AAR VI  3 BOLUX VI 11 N 1 130 190 W108E-W108W
  AAR VI  3 BOLUX VI 11 N 2 130 190 W108E-W108W
  AAR VI  3 LAKET VI 11 N 1   0   0 W36
  AAR VI  3 LAKET VI 11 N 2   0   0 W36
  AAR VI  3 RABAN VI 11 N 1   0   0 A456
  AAR VI  3 RABAN VI 11 N 2   0   0 A456
  AAT VE  3 ANSOS VE 11 N 1   0   0 A201
  AAT VE  3 ANSOS VE 11 N 2   0   0 A201
  AAT VE  3 BOGEP VG 11 N 1 270 460 A201
  AAT VE  3 BOGEP VG 11 N 2 270 460 A201
  AAT VE  3 FIR31 VG 11 N 1  75 460 B593
  AAT VE  3 FIR31 VG 11 N 2  75 460 B593
  AAT VE  3 IBAPA VE 11 N 1 100 460 B593
  AAT VE  3 IBAPA VE 11 N 2 100 460 B593
  AAT VE  3   IIM VE  3 N 1   0   0 W54
  AAT VE  3   IIM VE  3 N 2   0   0 W54
  AAT VE  3 MEPAR VE 11 N 1 100 460 W55-W84
  AAT VE  3 MEPAR VE 11 N 2 100 460 W55-W84
  AAU VA  3 AKTIV VA 11 N 1 260 460 L301
  AAU VA  3 AKTIV VA 11 N 2 260 460 L301
  AAU VA  3 ASOGA VO 11 N 1 260 460 L301
  AAU VA  3 ASOGA VO 11 N 2 260 460 L301
  AAU VA  3 DUBOX VA 11 N 1  80 460 G450
  AAU VA  3 DUBOX VA 11 N 2  80 460 G450
  AAU VA  3 IPKAX VA 11 N 1 250 460 W146
  AAU VA  3 IPKAX VA 11 N 2 250 460 W146
  AAU VA  3   JLG VA  3 N 1  80 460 W75
  AAU VA  3   JLG VA  3 N 2  80 460 W75
  AAU VA  3 OPAKA VA 11 N 1  80 460 G450
  AAU VA  3 OPAKA VA 11 N 2  80 460 G450
  AAU VA  3 UBSAB VA 11 F 1 260 460 J5
  AAU VA  3 UBSAB VA 11 F 2 260 460 J5
ABADA EN 11 TIGBA ES 11 N 1   0   0 Z277
ABADA EN 11 TIGBA ES 11 N 2   0   0 Z277
ABADI LI 11 ENOXA LI 11 N 2 200 460 UQ920
ABADI LI 11 GOKEL LI 11 N 2   0   0 UQ920
ABADI LI 11 PAPIZ LI 11 N 1 110 285 P92
ABADI LI 11 PAPIZ LI 11 N 2 285 660 UP92
ABAGO UH 11 LADES UH 11 F 1 270 530 G902
ABAGO UH 11 LADES UH 11 F 2 270 530 G902
ABAGO UH 11 MOLUT UH 11 N 1 100 530 A218
ABAGO UH 11 MOLUT UH 11 N 2 100 530 A218
ABAGO UH 11 OKRUS UH 11 N 1 100 530 A218
ABAGO UH 11 OKRUS UH 11 N 2 100 530 A218
ABAGO UH 11 RITMI UH 11 N 1 270 530 G902
ABAGO UH 11 RITMI UH 11 N 2 270 530 G902
ABAGU EI 11 SLANY EI 11 N 1 150 245 L9
ABAGU EI 11 TIPUR EI 11 N 1  50 245 L9
ABAKA UW 11 DENIG UW 11 N 1  70 510 W127
ABAKA UW 11 DENIG UW 11 N 2  70 510 W127
ABAKA UW 11 GITEK UW 11 N 1  70 510 W127
ABAKA UW 11 GITEK UW 11 N 2  70 510 W127
ABAKO LI 11 ERNAM LI 11 N 2 200 460 UM600
ABAKO LI 11 PESAR LI 11 N 2 200 460 UM600
99
